HGNC_ID	Gene	Ensemble_ID	Entrez_ID	Inheritance	Phenotype(s)	OMIM_ID	Panel(s)
HGNC:12313	JMJD1C	ENSG00000171988	221037	AD	DEE	604503	NA
HGNC:24565	KANSL1	ENSG00000120071	284058	AD	DEE	612452	"Fulgent, GeneDx, Invitae"
HGNC:6215	KARS1	ENSG00000065427	3735	AR	DEE	601421	NA
HGNC:6218	KCNA1	ENSG00000111262	3736	AD	DEE	176260	"AusPanelApp, Fulgent, Invitae, BluePrint"
HGNC:6220	KCNA2	ENSG00000177301	3737	AD	"GGE, Focal, DEE, PME"	176262	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:6231	KCNB1	ENSG00000158445	3745	AD	DEE	600397	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:6233	KCNC1	ENSG00000129159	3746	AD	"DEE, PME"	176258	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:6234	KCNC2	ENSG00000166006	3747	AD	"GGE, DEE"	176256	"AusPanelApp, Fulgent"
HGNC:6250	KCNH1	ENSG00000143473	3756	AD	DEE	603305	"AusPanelApp, GeneDx, Invitae, BluePrint"
HGNC:6256	KCNJ10	ENSG00000177807	3766	AR	DEE	602208	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:6284	KCNMA1	ENSG00000156113	3778	AR	DEE	600150	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:6296	KCNQ2	ENSG00000075043	3785	AD	"Focal, DEE"	602235	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:6297	KCNQ3	ENSG00000184156	3786	AD	"Focal, DEE"	602232	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:6299	KCNQ5	ENSG00000185760	56479	AD	DEE	607357	"AusPanelApp, Invitae, BluePrint"
HGNC:18865	KCNT1	ENSG00000107147	57582	AD	"Focal, DEE"	608167	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:18866	KCNT2	ENSG00000162687	343450	AD	DEE	610044	"AusPanelApp, BluePrint"
HGNC:21957	KCTD7	ENSG00000243335	154881	AR	PME	611725	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:6323	KIF5A	ENSG00000155980	3798	AD	DEE	602821	"AusPanelApp, Invitae, BluePrint"
HGNC:1573	KRIT1	ENSG00000001631	889	AD	MCD	604214	NA
HGNC:6494	LAMC3	ENSG00000050555	10319	AR	"DEE, MCD"	604349	"AusPanelApp, Invitae"
HGNC:6572	LGI1	ENSG00000108231	9211	AD	Focal	604619	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:6638	LMNB2	ENSG00000176619	84823	AR	PME	150341	BluePrint
HGNC:13664	MACF1	ENSG00000127603	23499	AD	"DEE, MCD"	608271	"AusPanelApp, BluePrint"
HGNC:6836	MAP1B	ENSG00000131711	4131	AD	MCD	157129	AusPanelApp
HGNC:30550	MARCHF6	ENSG00000145495	10299	AD	PME	613297	NA
HGNC:19036	MAST3	ENSG00000099308	23031	AD	"DEE, MCD"	612258	AusPanelApp
HGNC:20444	MBD5	ENSG00000204406	55777	AD	DEE	611472	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:6990	MECP2	ENSG00000169057	4204	XL	DEE	300005	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:6996	MEF2C	ENSG00000081189	4208	AD	DEE	600662	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:28486	MFSD8	ENSG00000164073	256471	AR	PME	611124	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:3942	MTOR	ENSG00000198793	2475	AD	"DEE, MCD"	601231	"AusPanelApp, Fulgent, Invitae, BluePrint"
HGNC:20967	NACC1	ENSG00000160877	112939	AD	DEE	610672	"AusPanelApp, Invitae, BluePrint"
HGNC:15751	NAPB	ENSG00000125814	63908	AR	DEE	611270	NA
HGNC:7643	NARS1	ENSG00000134440	4677	AD/AR	DEE	108410	AusPanelApp
HGNC:24539	NECAP1	ENSG00000089818	25977	AR	DEE	611623	"Invitae, BluePrint"
HGNC:7728	NEDD4L	ENSG00000049759	23327	AD	MCD	606384	"AusPanelApp, Fulgent, Invitae"
HGNC:7758	NEU1	ENSG00000204386	4758	AR	PME	608272	"AusPanelApp, Fulgent, BluePrint"
HGNC:29433	NEXMIF	ENSG00000050030	340533	XL	DEE	300524	"AusPanelApp, Fulgent, GeneDx, Invitae"
HGNC:21576	NHLRC1	ENSG00000187566	378884	AR	PME	608072	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:24969	NPRL2	ENSG00000114388	10641	AD	"Focal, MCD"	607072	"AusPanelApp, Fulgent, BluePrint"
HGNC:14124	NPRL3	ENSG00000103148	8131	AD	"Focal, MCD"	600928	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:8016	NSF	ENSG00000073969	4905	AD	DEE	601633	NA
HGNC:8032	NTRK2	ENSG00000148053	4915	AD	DEE	600456	"AusPanelApp, Invitae, BluePrint"
HGNC:21042	NUS1	ENSG00000153989	116150	AD	"DEE, PME"	610463	"AusPanelApp, Invitae, BluePrint"
HGNC:23794	PACS2	ENSG00000179364	23241	AD	DEE	610423	"AusPanelApp, Invitae, BluePrint"
HGNC:8574	PAFAH1B1	ENSG00000007168	5048	AD	MCD	601545	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:14270	PCDH19	ENSG00000165194	57526	XL	"Focal, DEE"	300460	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:8761	PDCD10	ENSG00000114209	11235	AD	MCD	609118	NA
HGNC:20990	PHACTR1	ENSG00000112137	221692	AD	DEE	608723	"AusPanelApp, BluePrint"
HGNC:8957	PIGA	ENSG00000165195	5277	XL	DEE	311770	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:8972	PIK3C2B	ENSG00000133056	5287	AD	"Focal, MCD"	602838	NA
HGNC:8975	PIK3CA	ENSG00000121879	5290	AD	MCD	171834	AusPanelApp
HGNC:8980	PIK3R2	ENSG00000105647	5296	AD	MCD	603157	AusPanelApp
HGNC:15917	PLCB1	ENSG00000182621	23236	AR	DEE	607120	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:9154	PNKP	ENSG00000039650	11284	AR	DEE	605610	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:9179	POLG	ENSG00000140521	5428	AR	"DEE, PME"	174763	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:9249	PPFIBP1	ENSG00000110841	8496	AR	DEE	603141	AusPanelApp
HGNC:9314	PPP3CA	ENSG00000138814	5530	AD	DEE	114105	"AusPanelApp, Fulgent, Invitae, BluePrint"
HGNC:9325	PPT1	ENSG00000131238	5538	AR	PME	600722	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:18319	PRIMA1	ENSG00000175785	145270	AR	Focal	613851	"Invitae, BluePrint"
HGNC:30500	PRRT2	ENSG00000167371	112476	AD/AR	"Focal, DEE"	614386	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:9588	PTEN	ENSG00000171862	5728	AD	MCD	601728	"AusPanelApp, Invitae"
HGNC:9701	PURA	ENSG00000185129	5813	AD	DEE	600473	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:9751	QARS1	ENSG00000172053	5859	AR	DEE	603727	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:16854	RAPGEF2	ENSG00000109756	9693	AD	PME	609530	NA
HGNC:21406	RARS2	ENSG00000146282	57038	AR	"DEE, PME"	611524	"AusPanelApp, Fulgent"
HGNC:9957	RELN	ENSG00000189056	5649	AD/AR	"Focal, MCD"	600514	"AusPanelApp, Fulgent, Invitae, BluePrint"
HGNC:18756	RHOBTB2	ENSG00000008853	23221	AD	DEE	607352	"AusPanelApp, Invitae, BluePrint"
HGNC:10259	RORB	ENSG00000198963	6096	AD	"GGE, DEE"	601972	"AusPanelApp, Invitae, BluePrint"
HGNC:10485	RYR3	ENSG00000198838	6263	AD	DEE	180903	"ClinGen, Fulgent"
HGNC:31750	SAMD12	ENSG00000177570	401474	AD	PME	NA	NA
HGNC:1665	SCARB2	ENSG00000138760	950	AR	PME	602257	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:10582	SCN10A	ENSG00000185313	6336	AR	DEE	604427	Fulgent
HGNC:10585	SCN1A	ENSG00000144285	6323	AD	"GGE, Focal, DEE"	182389	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:10586	SCN1B	ENSG00000105711	6324	AD/AR	"GGE, Focal, DEE"	600235	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:10588	SCN2A	ENSG00000136531	6326	AD	"GGE, Focal, DEE"	182390	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:10590	SCN3A	ENSG00000153253	6328	AD	"DEE, MCD"	182391	"AusPanelApp, ClinGen, Fulgent, Invitae, BluePrint"
HGNC:10596	SCN8A	ENSG00000196876	6334	AD	"Focal, DEE, PME"	600702	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:10739	SEMA6B	ENSG00000167680	10501	AD	"DEE, PME"	608873	AusPanelApp
HGNC:15573	SETBP1	ENSG00000152217	26040	AD	DEE	611060	"AusPanelApp, Fulgent, Invitae, BluePrint"
HGNC:11142	SIK1	ENSG00000142178	150094	AD	DEE	605705	"AusPanelApp, ClinGen, Fulgent, Invitae, BluePrint"
HGNC:13818	SLC12A5	ENSG00000124140	57468	AR	DEE	606726	"AusPanelApp, Fulgent, Invitae, BluePrint"
HGNC:23089	SLC13A5	ENSG00000141485	284111	AR	DEE	608305	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:10940	SLC1A2	ENSG00000110436	6506	AD/AR	DEE	600300	"AusPanelApp, Invitae, BluePrint"
HGNC:19954	SLC25A22	ENSG00000177542	79751	AR	DEE	609302	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:11005	SLC2A1	ENSG00000117394	6513	AD	"GGE, Focal, DEE"	138140	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:11018	SLC32A1	ENSG00000101438	140679	AD	"GGE, Focal, DEE"	616440	AusPanelApp
HGNC:11023	SLC35A3	ENSG00000117620	23443	AR	DEE	605632	NA
HGNC:18044	SLC38A3	ENSG00000188338	10991	AR	DEE	604437	AusPanelApp
HGNC:17939	SLC45A1	ENSG00000162426	50651	AR	DEE	605763	NA
HGNC:11042	SLC6A1	ENSG00000157103	6529	AD	"GGE, Focal, DEE"	137165	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:25807	SLC7A6OS	ENSG00000103061	84138	AR	PME	NA	NA
HGNC:11079	SLC9A6	ENSG00000198689	10479	XL	DEE	300231	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:11111	SMC1A	ENSG00000072501	8243	XL	DEE	300040	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:11132	SNAP25	ENSG00000132639	6616	AD	DEE	600322	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:20073	SNX27	ENSG00000143376	81609	AR	DEE	611541	"AusPanelApp, Invitae"
HGNC:18119	SPATA5	ENSG00000145375	166378	AR	DEE	613940	"AusPanelApp, GeneDx, Invitae, BluePrint"
HGNC:11273	SPTAN1	ENSG00000197694	6709	AD	DEE	182810	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:18063	STARD7	ENSG00000084090	56910	AD	PME	616712	AusPanelApp
HGNC:18539	STX1B	ENSG00000099365	112755	AD	"GGE, Focal, DEE"	601485	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:11444	STXBP1	ENSG00000136854	6812	AD	DEE	602926	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:11494	SYN1	ENSG00000008056	6853	XL	"Focal, DEE"	313440	"AusPanelApp, Fulgent, Invitae, BluePrint"
HGNC:11497	SYNGAP1	ENSG00000197283	8831	AD	DEE	603384	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:29040	SZT2	ENSG00000198198	23334	AR	DEE	615463	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:29203	TBC1D24	ENSG00000162065	57465	AR	"Focal, DEE, PME"	613577	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:29529	TBL1XR1	ENSG00000177565	79718	AD	DEE	608628	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
